index,id,crawl_id,visit_id,old_channel_id,new_channel_id,is_temporary,is_permanent,is_internal,is_sts_upgrade,time_stamp
0,1,1,1,{5bb252af-2000-49f5-b551-0cac034bd0e8},{59c50381-a693-4092-b2a6-6096bbaf0a3c},1,0,0,0,2020-11-29T14:21:23.190Z
1,2,1,1,{417b05b7-9ec5-4f78-b927-23296e1fcc87},{81d4f98d-8780-4a83-925c-9dacf1929365},1,0,0,0,2020-11-29T14:21:23.198Z
2,3,1,1,{9f81c24b-7448-4d7c-ac76-81efee5e0ce3},{bfcda92c-2dbd-4fb3-b104-086c77cc021a},1,0,0,0,2020-11-29T14:21:23.198Z
3,4,1,1,{ae2db2f6-e3a4-4c48-b7fa-c94bb7f88392},{2274a287-79f4-4c54-a06b-7e6201fa31da},1,0,0,0,2020-11-29T14:21:23.198Z
4,5,1,1,{21541cf9-90fe-49d4-840a-f76e452dbfd1},{825ebed9-f6fd-4433-a36c-ef10285e8dee},1,0,0,0,2020-11-29T14:21:23.210Z
5,6,1,1,{38df23be-c1bc-4fd8-9375-f19533481c5b},{c1194ca8-59c8-4ec0-965a-4292b0a241f4},1,0,0,0,2020-11-29T14:21:23.210Z
6,7,1,1,{e8168b72-4ddd-4fa7-a5ef-458ad8e3b55a},{3edc49f1-169c-4375-ae74-046f9a39c366},1,0,0,0,2020-11-29T14:21:23.222Z
7,8,1,1,{63a18471-0b1c-4a83-ab71-af3100b4306a},{d8289cc6-bf69-43b9-bc1e-dabe1ad7753f},1,0,0,0,2020-11-29T14:21:26.634Z
8,9,1,1,{735210ab-dca5-4be4-aae1-0722cc2418a9},{5ab7fa68-387e-4683-bca0-f8a68de3b0e1},1,0,0,0,2020-11-29T14:21:26.634Z
9,10,1,1,{60e8d9a6-1350-4150-a0b2-a4b7f2e262fe},{1b260c06-e82b-4797-8f3e-42a92fb393f0},1,0,0,0,2020-11-29T14:21:26.642Z
10,11,1,1,{0eac39bf-7f69-4f43-afbd-8bad6526b8d4},{ad542833-1665-4da0-b1a0-a25d9e2ca312},1,0,0,0,2020-11-29T14:21:26.700Z
11,12,1,1,{d3682e57-0422-4085-b4a4-0776bcaf276b},{c5ab0c26-7597-411a-89dd-233794471b01},1,0,0,0,2020-11-29T14:21:26.722Z
12,13,1,1,{44c2a740-bb7b-4e38-ae32-65785e399565},{5a2714c2-43e4-48d9-b37b-b86379be02f3},1,0,0,0,2020-11-29T14:21:26.730Z
13,14,1,1,{31df4096-3eae-44a7-93de-532e2ed963f8},{e1a4b3ba-bab8-4e4d-a13e-2aa182b161da},1,0,0,0,2020-11-29T14:21:26.738Z
14,15,1,1,{e1a4b3ba-bab8-4e4d-a13e-2aa182b161da},{8832da1f-87bd-4cf6-bab6-f1c1c6ff3025},1,0,0,0,2020-11-29T14:21:26.860Z
15,16,1,1,{e1a4b3ba-bab8-4e4d-a13e-2aa182b161da},{8832da1f-87bd-4cf6-bab6-f1c1c6ff3025},1,0,0,0,2020-11-29T14:21:26.860Z
16,17,1,1,{8832da1f-87bd-4cf6-bab6-f1c1c6ff3025},{f9c478a7-8527-45d2-a447-76769acae270},1,0,0,0,2020-11-29T14:21:26.900Z
17,18,1,1,{8832da1f-87bd-4cf6-bab6-f1c1c6ff3025},{f9c478a7-8527-45d2-a447-76769acae270},1,0,0,0,2020-11-29T14:21:26.900Z
18,19,1,1,{8832da1f-87bd-4cf6-bab6-f1c1c6ff3025},{f9c478a7-8527-45d2-a447-76769acae270},1,0,0,0,2020-11-29T14:21:26.900Z
